Reference Designator,Value,Package,X,Y,Rotation,Side
C1,4.7U,C_0402_1005Metric,113.248,-65.038,0,Top
C2,4.7U,C_0402_1005Metric,105.728,-63.338,180,Top
C3,10u,C_0402_1005Metric,103.328,-67.438,180,Top
R3,10k,R_0402_1005Metric,105.748,-67.138,0,Top
R4,470,R_0402_1005Metric,105.748,-68.238,180,Top
R5,470,R_0402_1005Metric,109.648,-70.048,-90,Top
R6,470,R_0402_1005Metric,108.448,-70.028,-90,Top
R7,330K,R_0402_1005Metric,105.748,-65.738,180,Top
R8,110K,R_0402_1005Metric,105.748,-64.638,0,Top
R9,10k,R_0402_1005Metric,113.248,-67.038,180,Top
R10,1k,R_0402_1005Metric,113.248,-66.038,180,Top
U1,MCP73871,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,109.623,-66.013,0,Top
